OBJECTID,Name,ORIG_FID,jetty,X,y,Visited,POINT_X,POINT_Y,geometry,cluster
1,Wan Jetty,0,,0.0,0.0,,3.19939614032,6.41953894227,POINT (3.1993961403196636 6.419538942268446),5
2,Sabokeji,0,Sobekeji,3.376873,6.432683,,3.37687299969,6.43268299982,POINT (3.376872999689226 6.432682999820656),7
5,Epe Marina,0,Epe Marina,3.977652,6.577589,,3.97765200024,6.57758900023,POINT (3.9776520002396865 6.577589000232251),1
6,Sangotedo Ajah,0,Sangotedo Ajah,3.561498,6.47481,,3.56149799983,6.47480999998,POINT (3.561497999832852 6.474809999981574),3
7,Mile 2 Jetty,0,,0.0,0.0,,3.30818761657,6.45872066633,POINT (3.3081876165653057 6.458720666325746),0
8,Liverpool jetty,0,,0.0,0.0,Yes,3.35917875929,6.43911346451,POINT (3.3591787592923765 6.439113464514833),0
9,Itomu,0,,0.0,0.0,,3.62880685006,6.50059406756,POINT (3.628806850056151 6.50059406756219),3
10,Illeshe,0,,0.0,0.0,,3.20462562068,6.40619512281,POINT (3.2046256206759267 6.406195122806707),5
11,Ijede Jetty,0,,0.0,0.0,,3.58944149793,6.56331185896,POINT (3.5894414979268277 6.56331185895516),3
12,"Ilado Jetty, Amuwo Odofin",0,,0.0,0.0,,3.4405139002,6.44134440012,POINT (3.440513900196379 6.441344400124024),7
13,Ijegun Egba Jetty,0,,0.0,0.0,Yes,3.25898060017,6.42786670039,POINT (3.2589806001745956 6.427866700387938),5
14,Gbaji Yekeme Jetty,0,,0.0,0.0,,2.8606655177,6.4193458956,POINT (2.8606655176995446 6.419345895596678),6
15,Ibeshe Jetty,0,,0.0,0.0,,3.54879979557,6.53783629391,POINT (3.548799795574155 6.537836293909891),3
16,Five cowries Terminal,0,,0.0,0.0,,3.42719158263,6.44201899688,POINT (3.4271915826254826 6.442018996879256),7
17,"Eputu Landing, Ibeju Lekki",0,,0.0,0.0,,3.7151611001,6.48279720013,POINT (3.7151611001047513 6.482797200130733),4
18,Etegbin Jetty,0,,0.0,0.0,,3.14376956801,6.44966645384,POINT (3.14376956801118 6.449666453843804),9
19,Epe Marina,0,,0.0,0.0,,3.97765374313,6.57761619663,POINT (3.9776537431258134 6.577616196630231),1
20,Enu-edo Jetty,0,,0.0,0.0,,3.00716285948,6.41121010316,POINT (3.0071628594784556 6.411210103163796),2
21,Commando jetty,0,,0.0,0.0,,2.87485624132,6.41793276748,POINT (2.8748562413225045 6.4179327674833075),6
22,Ebute Ero Jetty,0,,0.0,0.0,Yes,3.38252169182,6.46279513569,POINT (3.38252169182266 6.462795135687031),7
23,Ebute Ojo Terminal,0,,0.0,0.0,Yes,3.20565041074,6.45308086309,POINT (3.205650410737917 6.453080863091429),5
24,Coconut Landing,0,,0.0,0.0,,3.33608289661,6.43805309997,POINT (3.3360828966084455 6.438053099970659),0
25,Bogije,0,,0.0,0.0,,3.75588733064,6.49135050462,POINT (3.755887330635858 6.491350504622119),4
26,Bariga  jetty,0,,0.0,0.0,Yes,3.39997938984,6.5283385232,POINT (3.3999793898370285 6.528338523204354),8
27,Badore (Tarzan) Jetty,0,,0.0,0.0,Yes,3.61491666637,6.51205277761,POINT (3.61491666637113 6.512052777613633),3
28,Apa Jetty,0,,0.0,0.0,,2.82479831879,6.43760922519,POINT (2.8247983187874297 6.437609225185668),6
29,Agboyi Ketu Jetty,0,,0.0,0.0,,3.40763312587,6.58256521891,POINT (3.4076331258681307 6.582565218909792),8
30,Ajido Jetty,0,,0.0,0.0,,3.00783242812,6.41370815541,POINT (3.007832428124118 6.413708155407107),2
31,Agbara Jetty,0,,0.0,0.0,,3.10327623041,6.49919233386,POINT (3.103276230413769 6.499192333859185),9
